,#AUTHID,STATUS,sEXT,sNEU,sAGR,sCON,sOPN,NETWORKSIZE
8829,f6cb2eff458f065858363e86515beaab,"is in Kuwait, soon to be at FOB Warhorse Iraq",1.33,2.58,2.5,3.83,3.5,85.0
1370,a6336ec5e11839ae33aee01fa2163652,"~ CDC latest report: Autism effects 1 in 110 children born each day. 1 in 70 boys. Put this in your status for 1 HOUR if you know someone with AUTISM. Let our children's voices be heard. Here's to 2010 increasing awareness, research and proactively finding answers.",1.35,4.75,2.85,4.55,4.4,99.0
1320,a6336ec5e11839ae33aee01fa2163652,is going to the pool later.,1.35,4.75,2.85,4.55,4.4,99.0
1321,a6336ec5e11839ae33aee01fa2163652,is writing a Psychology essay.,1.35,4.75,2.85,4.55,4.4,99.0
1322,a6336ec5e11839ae33aee01fa2163652,"~ ew, Chemistry.",1.35,4.75,2.85,4.55,4.4,99.0
1323,a6336ec5e11839ae33aee01fa2163652,is done with art and has nothing special going on anymore. ):.,1.35,4.75,2.85,4.55,4.4,99.0
1324,a6336ec5e11839ae33aee01fa2163652,"is better, I guess, and finishing up the last Psychology essays.",1.35,4.75,2.85,4.55,4.4,99.0
1325,a6336ec5e11839ae33aee01fa2163652,wants to cut her hair again.,1.35,4.75,2.85,4.55,4.4,99.0
1326,a6336ec5e11839ae33aee01fa2163652,is still finishing homework. On to Algebra II.,1.35,4.75,2.85,4.55,4.4,99.0
1327,a6336ec5e11839ae33aee01fa2163652,is going to art class.,1.35,4.75,2.85,4.55,4.4,99.0
1328,a6336ec5e11839ae33aee01fa2163652,is writing. ~ 50 page mark! ~,1.35,4.75,2.85,4.55,4.4,99.0
1329,a6336ec5e11839ae33aee01fa2163652,wants a keyboard.,1.35,4.75,2.85,4.55,4.4,99.0
1330,a6336ec5e11839ae33aee01fa2163652,is in German classs.,1.35,4.75,2.85,4.55,4.4,99.0
1331,a6336ec5e11839ae33aee01fa2163652,is sick. And also bored. Someone talk to meee...!,1.35,4.75,2.85,4.55,4.4,99.0
1332,a6336ec5e11839ae33aee01fa2163652,starts Psychology tomorrow.,1.35,4.75,2.85,4.55,4.4,99.0
1333,a6336ec5e11839ae33aee01fa2163652,"~ haha, *PROPNAME* is awesome. xD",1.35,4.75,2.85,4.55,4.4,99.0
1319,a6336ec5e11839ae33aee01fa2163652,~ Chemistryy is soo hardd!,1.35,4.75,2.85,4.55,4.4,99.0
1318,a6336ec5e11839ae33aee01fa2163652,is doin' German homework.,1.35,4.75,2.85,4.55,4.4,99.0
1317,a6336ec5e11839ae33aee01fa2163652,~ First Mission: Decode - Paramore.,1.35,4.75,2.85,4.55,4.4,99.0
1316,a6336ec5e11839ae33aee01fa2163652,~ goin' to college.,1.35,4.75,2.85,4.55,4.4,99.0
1301,a6336ec5e11839ae33aee01fa2163652,is back.,1.35,4.75,2.85,4.55,4.4,99.0
1302,a6336ec5e11839ae33aee01fa2163652,really wants a kitten... and I shall name her *PROPNAME*.,1.35,4.75,2.85,4.55,4.4,99.0
1303,a6336ec5e11839ae33aee01fa2163652,is sitting outside in Pennsylvania.,1.35,4.75,2.85,4.55,4.4,99.0
1304,a6336ec5e11839ae33aee01fa2163652,~ the kittens have officially been named. *PROPNAME* and *PROPNAME*.,1.35,4.75,2.85,4.55,4.4,99.0
1305,a6336ec5e11839ae33aee01fa2163652,is going back to Tennessee.,1.35,4.75,2.85,4.55,4.4,99.0
1306,a6336ec5e11839ae33aee01fa2163652,is back from Impact.,1.35,4.75,2.85,4.55,4.4,99.0
1307,a6336ec5e11839ae33aee01fa2163652,is obsessed with Maple Story again. :P.,1.35,4.75,2.85,4.55,4.4,99.0
1308,a6336ec5e11839ae33aee01fa2163652,has to rewrite a part of her story because she thinks she accidentally deleted it. ):,1.35,4.75,2.85,4.55,4.4,99.0
1309,a6336ec5e11839ae33aee01fa2163652,is sad...,1.35,4.75,2.85,4.55,4.4,99.0
1310,a6336ec5e11839ae33aee01fa2163652,is drawing *PROPNAME*. (*PROPNAME*!),1.35,4.75,2.85,4.55,4.4,99.0
1311,a6336ec5e11839ae33aee01fa2163652,is going to Pennsylvania tomorrow.,1.35,4.75,2.85,4.55,4.4,99.0
1312,a6336ec5e11839ae33aee01fa2163652,got a hair cut.,1.35,4.75,2.85,4.55,4.4,99.0
1313,a6336ec5e11839ae33aee01fa2163652,wants Sims 3... xD,1.35,4.75,2.85,4.55,4.4,99.0
1314,a6336ec5e11839ae33aee01fa2163652,rearranged her room. Drastically. It's so different now. :D,1.35,4.75,2.85,4.55,4.4,99.0
1315,a6336ec5e11839ae33aee01fa2163652,is boredd.,1.35,4.75,2.85,4.55,4.4,99.0
1334,a6336ec5e11839ae33aee01fa2163652,can play Decode on the piano. :D,1.35,4.75,2.85,4.55,4.4,99.0
1335,a6336ec5e11839ae33aee01fa2163652,~ aerobics to Family Force 5? Epic.,1.35,4.75,2.85,4.55,4.4,99.0
1336,a6336ec5e11839ae33aee01fa2163652,~ goin' shopping tomorrow with mah friends :D,1.35,4.75,2.85,4.55,4.4,99.0
1337,a6336ec5e11839ae33aee01fa2163652,is writing essays.,1.35,4.75,2.85,4.55,4.4,99.0
1358,a6336ec5e11839ae33aee01fa2163652,is seventeen. :P.,1.35,4.75,2.85,4.55,4.4,99.0
1359,a6336ec5e11839ae33aee01fa2163652,is 17 in twelve days!,1.35,4.75,2.85,4.55,4.4,99.0
1360,a6336ec5e11839ae33aee01fa2163652,"has two kittens! The girl is *PROPNAME* and I need help with the boy... it's between *PROPNAME*, *PROPNAME*, *PROPNAME*, and *PROPNAME*. VOTE!",1.35,4.75,2.85,4.55,4.4,99.0
1361,a6336ec5e11839ae33aee01fa2163652,beat her sister in an arm wrestle. :D,1.35,4.75,2.85,4.55,4.4,99.0
1362,a6336ec5e11839ae33aee01fa2163652,is sad thinking about how her kitties are at home on her bed... alone... xD... poor kitties.,1.35,4.75,2.85,4.55,4.4,99.0
1363,a6336ec5e11839ae33aee01fa2163652,drew a bluebird and is now drawing a seagull.,1.35,4.75,2.85,4.55,4.4,99.0
1357,a6336ec5e11839ae33aee01fa2163652,has so much to do!,1.35,4.75,2.85,4.55,4.4,99.0
1364,a6336ec5e11839ae33aee01fa2163652,is in Pennsylvania. :P,1.35,4.75,2.85,4.55,4.4,99.0
1366,a6336ec5e11839ae33aee01fa2163652,listening to Muse. ?  :D,1.35,4.75,2.85,4.55,4.4,99.0
1367,a6336ec5e11839ae33aee01fa2163652,cut her hair again. Short. Again.,1.35,4.75,2.85,4.55,4.4,99.0
1368,a6336ec5e11839ae33aee01fa2163652,~ grr... school sucks.,1.35,4.75,2.85,4.55,4.4,99.0
4036,e4a512374eee079d2b8acc2ce69990d5,THOSE KANGAROOS CAN KILL YOU!,5.0,2.75,4.5,3.0,4.25,326.0
4035,e4a512374eee079d2b8acc2ce69990d5,Doing two shows this week. Tuesday night at 9pm at 1982 and Thursday Night at 9pm at the Clarion Inn.,5.0,2.75,4.5,3.0,4.25,326.0
4034,e4a512374eee079d2b8acc2ce69990d5,My pay check is like your pay check only without all the zeros.,5.0,2.75,4.5,3.0,4.25,326.0
4033,e4a512374eee079d2b8acc2ce69990d5,You could die and we'd all really care.,5.0,2.75,4.5,3.0,4.25,326.0
6744,1695fbad7101e34d4cb4686a6770231f,"hang on tight, cause it's gonna be wilder than any 8 second ride",5.0,1.75,3.0,3.5,3.5,855.0
4032,e4a512374eee079d2b8acc2ce69990d5,Performing stand up comedy thursday night and friday night. That's two chances to see me and be a real friend. Or else it's real pain for my sham friends.,5.0,2.75,4.5,3.0,4.25,326.0
4030,e4a512374eee079d2b8acc2ce69990d5,Kid Rock was right. We should all just be cowboys.,5.0,2.75,4.5,3.0,4.25,326.0
4029,e4a512374eee079d2b8acc2ce69990d5,still working on getting paid to say dumb things.,5.0,2.75,4.5,3.0,4.25,326.0
4028,e4a512374eee079d2b8acc2ce69990d5,Thanks to everyone who came out to last night's Gator Nights show. It was a blast.,5.0,2.75,4.5,3.0,4.25,326.0
4027,e4a512374eee079d2b8acc2ce69990d5,If I wasn't such a dork than I don't think I'd have the friends that I do. I love you guys.,5.0,2.75,4.5,3.0,4.25,326.0
4026,e4a512374eee079d2b8acc2ce69990d5,writes briefly on our expectations of films. http:////www.examiner.com//examiner//x-24676-Gainesville-Film-Industry-Examiner~y2010m1d20-DANGER-Expectations,5.0,2.75,4.5,3.0,4.25,326.0
4025,e4a512374eee079d2b8acc2ce69990d5,"Dude, get with the program.",5.0,2.75,4.5,3.0,4.25,326.0
4024,e4a512374eee079d2b8acc2ce69990d5,will probably be getting drunk tonight and tomorrow night. Be ready for my text messages.,5.0,2.75,4.5,3.0,4.25,326.0
4023,e4a512374eee079d2b8acc2ce69990d5,"Another film review already? Well, it was a three day weekend. http:////www.examiner.com//examiner//x-24676-Gainesville-Film-Industry-Examiner~y2010m1d18-The-Imaginarium-of-Dr-Parnussus",5.0,2.75,4.5,3.0,4.25,326.0
4022,e4a512374eee079d2b8acc2ce69990d5,Check out what I've got written for The Book of *PROPNAME*. http:////www.examiner.com//examiner//x-24676-Gainesville-Film-Industry-Examiner~y2010m1d17-The-Book-of-Eli,5.0,2.75,4.5,3.0,4.25,326.0
4021,e4a512374eee079d2b8acc2ce69990d5,"If you didn't fuck my ex-girlfriend, I would still owe you three thousand dollars.",5.0,2.75,4.5,3.0,4.25,326.0
4020,e4a512374eee079d2b8acc2ce69990d5,You could die and nobody would care.,5.0,2.75,4.5,3.0,4.25,326.0
4019,e4a512374eee079d2b8acc2ce69990d5,Some movies plan piss me off. http:////www.examiner.com//examiner//x-24676-Gainesville-Film-Industry-Examiner~y2010m1d13-Anger-In-Celluloid,5.0,2.75,4.5,3.0,4.25,326.0
4031,e4a512374eee079d2b8acc2ce69990d5,has an interview with the FSU Film School on the 26th. Big things poppin'.,5.0,2.75,4.5,3.0,4.25,326.0
4017,e4a512374eee079d2b8acc2ce69990d5,What did I think of the movies 2009 had to offer? Read about it here. http:////www.examiner.com//examiner//x-24676-Gainesville-Film-Industry-Examiner~y2010m1d6-2009-Superlatives,5.0,2.75,4.5,3.0,4.25,326.0
6743,1695fbad7101e34d4cb4686a6770231f,ridiculous!,5.0,1.75,3.0,3.5,3.5,855.0
6741,1695fbad7101e34d4cb4686a6770231f,FML!!,5.0,1.75,3.0,3.5,3.5,855.0
6715,1695fbad7101e34d4cb4686a6770231f,everyone is single if you're willing to try hard enough,5.0,1.75,3.0,3.5,3.5,855.0
6716,1695fbad7101e34d4cb4686a6770231f,PHI is callin' my name!,5.0,1.75,3.0,3.5,3.5,855.0
6717,1695fbad7101e34d4cb4686a6770231f,Ready for the long weekend,5.0,1.75,3.0,3.5,3.5,855.0
6718,1695fbad7101e34d4cb4686a6770231f,false alarm. still invincible.,5.0,1.75,3.0,3.5,3.5,855.0
6719,1695fbad7101e34d4cb4686a6770231f,State blows another opportunity...shouldn't have expected anything else...,5.0,1.75,3.0,3.5,3.5,855.0
6720,1695fbad7101e34d4cb4686a6770231f,I am officially the dumbest person in the entire world...my life sucks,5.0,1.75,3.0,3.5,3.5,855.0
6721,1695fbad7101e34d4cb4686a6770231f,Chi-town for the weekend!,5.0,1.75,3.0,3.5,3.5,855.0
6722,1695fbad7101e34d4cb4686a6770231f,False alarm...still invincible,5.0,1.75,3.0,3.5,3.5,855.0
6723,1695fbad7101e34d4cb4686a6770231f,Is it May yet?,5.0,1.75,3.0,3.5,3.5,855.0
6724,1695fbad7101e34d4cb4686a6770231f,Turkey Bowl at Beaver Stadium...sick!,5.0,1.75,3.0,3.5,3.5,855.0
6725,1695fbad7101e34d4cb4686a6770231f,i guess if that's what you're into...,5.0,1.75,3.0,3.5,3.5,855.0
6726,1695fbad7101e34d4cb4686a6770231f,Tailgating in the Wendy's parking lot is the new thing to do!!,5.0,1.75,3.0,3.5,3.5,855.0
6742,1695fbad7101e34d4cb4686a6770231f,Composing a script for greek sing....will most definitely be epic!,5.0,1.75,3.0,3.5,3.5,855.0
6727,1695fbad7101e34d4cb4686a6770231f,LMFAO!,5.0,1.75,3.0,3.5,3.5,855.0
6729,1695fbad7101e34d4cb4686a6770231f,tryin' to keep the streak alive,5.0,1.75,3.0,3.5,3.5,855.0
6730,1695fbad7101e34d4cb4686a6770231f,"To feel your pain, you feel mine. Go inside eachother's minds, just to see what we'd find. Look at shit through eachother's eyes.",5.0,1.75,3.0,3.5,3.5,855.0
6731,1695fbad7101e34d4cb4686a6770231f,Man date at Hokkaido...SMAAART!,5.0,1.75,3.0,3.5,3.5,855.0
6732,1695fbad7101e34d4cb4686a6770231f,"scars heal, glory fades, and all we're left with are the memories made. pain hurts, but only for a minute. your life is short so go on and live it, cause the chicks dig it",5.0,1.75,3.0,3.5,3.5,855.0
6733,1695fbad7101e34d4cb4686a6770231f,needs a formal date for Friday night...stat!,5.0,1.75,3.0,3.5,3.5,855.0
6734,1695fbad7101e34d4cb4686a6770231f,"Cleveland celebrating birthdays with the King, New Years in the 'burg, cruisin' the Caribbean....gonna be a nice little weekend!",5.0,1.75,3.0,3.5,3.5,855.0
6735,1695fbad7101e34d4cb4686a6770231f,"I'm pretty sure there's a lot more to life than being really, really, ridiculously good looking. And I plan on finding out what that is.",5.0,1.75,3.0,3.5,3.5,855.0
6736,1695fbad7101e34d4cb4686a6770231f,"85 and sunny in Jamaica, 82 and sunny in Grand Cayman....SMICK!",5.0,1.75,3.0,3.5,3.5,855.0
6737,1695fbad7101e34d4cb4686a6770231f,Puzzling my face off!,5.0,1.75,3.0,3.5,3.5,855.0
6738,1695fbad7101e34d4cb4686a6770231f,"Women lie, men lie, numbers don't lie!",5.0,1.75,3.0,3.5,3.5,855.0
6739,1695fbad7101e34d4cb4686a6770231f,4 rounds of credit card roulette shots and never had to pay...love that!,5.0,1.75,3.0,3.5,3.5,855.0
6740,1695fbad7101e34d4cb4686a6770231f,"Trapp mandate...dinner and a movie, does it get any better?",5.0,1.75,3.0,3.5,3.5,855.0
6728,1695fbad7101e34d4cb4686a6770231f,"Lately I've been hard to reach, I've been too long on my own.  Everybody has their private world where they can be alone. Are you calling me? Are you trying to get through? Are you reaching out for me? I'm reaching out for you...",5.0,1.75,3.0,3.5,3.5,855.0
3925,e4a512374eee079d2b8acc2ce69990d5,I'll jump and kick and bite and scratch and scream until I'm blue in the face.,5.0,2.75,4.5,3.0,4.25,326.0
